X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT,GlobalID,CreationDate,Creator,EditDate,Editor
-8364090.1283,4891385.089,303,303,497,TOLL BROTHERS,250 GIBRALTAR ROAD,NOT AVAILABLE,HORSHAM,PA,19044,MONTGOMERY,4200,5170,40.17486,-75.1359,BING MAPS,ADDRESS,42091,NOT AVAILABLE,HTTPS://WWW.TOLLBROTHERS.COM/,382.1,{2F090A7E-242D-4CEE-BBC0-74E76781595F},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8394223.2013,4878821.3903,304,304,457,UGI,460 NORTH GULPH ROAD,NOT AVAILABLE,KING OF PRUSSIA,PA,19406,MONTGOMERY,13105,5686,40.08857,-75.40659,BING MAPS,ADDRESS,42091,NOT AVAILABLE,HTTPS://WWW.UGI.COM/,364.7,{D3358CB8-A9D2-45FC-9A9C-B3DE94D09F7A},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8390105.4933,4877350.432,305,305,276,UNIVERSAL HEALTH SERVICES,367 SOUTH GULPH ROAD,NOT AVAILABLE,KING OF PRUSSIA,PA,19406,MONTGOMERY,70863,10508,40.07846,-75.3696,BING MAPS,ADDRESS,42091,NOT AVAILABLE,HTTPS://WWW.UHSINC.COM/,702.4,{313F9047-0B6D-46E9-93CC-7A4DCE8924A5},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8587085.3323,4725694.5902,306,306,472,HOST HOTELS & RESORTS,6903 ROCKLEDGE DRIVE,SUITE 1500,BETHESDA,MD,20817,MONTGOMERY,220000,5488,39.02808,-77.1391,BING MAPS,ADDRESS,24031,NOT AVAILABLE,HTTPS://WWW.HOSTHOTELS.COM/,762,{132A2966-AB1F-4FF6-B143-88339B2C01AB},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8587068.6343,4726113.0299,307,307,56,LOCKHEED MARTIN,6801 ROCKLEDGE DRIVE,NOT AVAILABLE,BETHESDA,MD,20817,MONTGOMERY,97000,50658,39.031,-77.13895,BING MAPS,ADDRESS,24031,NOT AVAILABLE,HTTPS://WWW.LOCKHEEDMARTIN.COM/EN-US/INDEX.HTML,5302,{BFB9E4DD-2290-4DD4-8FCC-C4C87F4E0FF9},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8587078.6531,4725184.461,308,308,163,MARRIOTT INTERNATIONAL,10400 FERNWOOD ROAD,NOT AVAILABLE,BETHESDA,MD,20817,MONTGOMERY,226500,17072,39.02452,-77.13904,BING MAPS,ADDRESS,24031,NOT AVAILABLE,HTTPS://WWW.MARRIOTT.COM/DEFAULT.MI,780,{4FFC93A7-E4D1-45EB-BAF6-48E624DE3770},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8574726.6424,4720958.2554,309,309,412,DISCOVERY COMMUNICATIONS,1 DISCOVERY PLACE,NOT AVAILABLE,SILVER SPRING,MD,20910,MONTGOMERY,7000,6497,38.99502,-77.02808,BING MAPS,ADDRESS,24031,NOT AVAILABLE,HTTPS://CORPORATE.DISCOVERY.COM/,1194,{B7527250-991A-4EC0-ACFF-A97B4C409AD9},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-10625901.8061,3524208.9376,310,310,344,ANADARKO PETROLEUM,1201 LAKE ROBBINS DRIVE,NOT AVAILABLE,THE WOODLANDS,TX,77380,MONTGOMERY,4500,7869,30.16059,-95.4541,BING MAPS,ADDRESS,48339,NOT AVAILABLE,HTTPS://WWW.ANADARKO.COM/,-3071,{DF2C4C4E-24B3-4438-8F0E-88FB1BE34772},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8287732.75,4990143.2103,311,311,319,AVIS BUDGET GROUP,6 SYLVAN WAY,NOT AVAILABLE,PARSIPPANY,NJ,07054,MORRIS,25600,8659,40.84933,-74.44997,BING MAPS,ADDRESS,34027,NOT AVAILABLE,HTTP://WWW.AVISBUDGETGROUP.COM/,163,{A21DF056-1666-4322-A233-32D4FCB12994},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8288508.6468,4989891.5634,312,312,172,PBF ENERGY,1 SYLVAN WAY,SUITE 2,PARSIPPANY,NJ,07054,MORRIS,3165,15920,40.84762,-74.45694,BING MAPS,ADDRESS,34027,NOT AVAILABLE,HTTP://WWW.PBFENERGY.COM/,170.8,{7DFD939E-ABD1-4CE1-ACA3-1C47E789DD85},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8287495.6395,4989772.3644,313,313,461,WYNDHAM WORLDWIDE,22 SYLVAN WAY,NOT AVAILABLE,PARSIPPANY,NJ,07054,MORRIS,37800,5599,40.84681,-74.44784,BING MAPS,ADDRESS,34027,NOT AVAILABLE,HTTP://WWW.WYNDHAMDESTINATIONS.COM/WD/HOME.PAGE,611,{E95EA6B3-B68A-46B3-B52A-4B6E33D53405},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8242643.9034,4981097.4161,314,314,366,QUEST DIAGNOSTICS,500 PLAZA DRIVE,NOT AVAILABLE,SECAUCUS,NJ,07094,HUDSON,43000,7515,40.787834,-74.04493,MANUAL,ON-ENTITY,34027,NOT AVAILABLE,HTTPS://WWW.QUESTDIAGNOSTICS.COM/HOME.HTML,645,{0C6F7E68-0C93-4B15-B7AE-CF8653C0F3A4},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8284615.8042,4978713.8031,315,315,448,REALOGY HOLDINGS,175 PARK AVENUE,NOT AVAILABLE,MADISON,NJ,07940,MORRIS,11800,5810,40.77162,-74.42197,BING MAPS,ADDRESS,34027,NOT AVAILABLE,HTTPS://WWW.REALOGY.COM/,213,{2979F08F-FCD8-42A1-AF75-6EBB2DB1C9F2},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8287108.2476,4981708.4815,316,316,73,HONEYWELL INTERNATIONAL,101 COLUMBIA ROAD,NOT AVAILABLE,MORRIS TOWNSHIP,NJ,07962,MORRIS,131000,39302,40.79199,-74.44436,BING MAPS,ADDRESS,34027,NOT AVAILABLE,HTTPS://WWW.HONEYWELL.COM/,4809,{906EF7C3-9045-4FB1-948B-DBFBBE18B13B},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-9458210.4415,3824948.3981,317,317,126,AFLAC,1932 WYNNTON ROAD,NOT AVAILABLE,COLUMBUS,GA,31999,MUSCOGEE,10212,22559,32.46836,-84.96455,BING MAPS,ADDRESS,13215,NOT AVAILABLE,HTTPS://WWW.AFLAC.COM/,2659,{0EC3923E-7B07-4097-8072-786ED5EF1F9F},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8172843.2431,4978187.5872,318,318,243,HENRY SCHEIN,135 DURYEA ROAD,NOT AVAILABLE,MELVILLE,NY,11747,NASSAU,21000,11572,40.76804,-73.4179,BING MAPS,ADDRESS,36059,NOT AVAILABLE,HTTPS://WWW.HENRYSCHEIN.COM/,506.8,{D3E0CA5D-AC59-4B82-86F2-D6CDA139FAA7},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8409983.8148,4829139.1431,319,319,113,DUPONT,1007 MARKET STREET,NOT AVAILABLE,WILMINGTON,DE,19898,NEW CASTLE,46000,24594,39.74627,-75.54817,BING MAPS,ADDRESS,10003,NOT AVAILABLE,HTTP://WWW.DUPONT.COM/,2513,{33912E1F-5DC1-479B-A2B2-2825B60C0EB9},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8409983.8148,4829139.1431,320,320,482,CHEMOURS,1007 MARKET STREET,NOT AVAILABLE,WILMINGTON,DE,19899,NEW CASTLE,7000,5400,39.74627,-75.54817,BING MAPS,ADDRESS,10003,NOT AVAILABLE,HTTPS://WWW.CHEMOURS.COM/,7,{C171E12F-C466-4B89-81AF-DEE460E36A13},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8107691.2847,5080409.3708,321,321,424,AMPHENOL,358 HALL AVENUE,NOT AVAILABLE,WALLINGFORD,CT,06492,NEW HAVEN,62000,6286,41.45986,-72.83263,BING MAPS,ADDRESS,09009,NOT AVAILABLE,HTTPS://WWW.AMPHENOL.COM/,822.9,{C4B84BCC-D484-47AC-9346-8F4DE289098F},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8234765.8231,4977020.6064,322,322,262,LEUCADIA NATIONAL,520 MADISON AVENUE,NOT AVAILABLE,NEW YORK,NY,10022,NEW YORK,13000,10875,40.7601,-73.97416,BING MAPS,ADDRESS,36061,NOW JEFFRIES FINANCIAL GROUP,HTTP://WWW.JEFFERIES.COM/,130,{A8840E85-4CCF-4B22-ADD3-6861CED571FC},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
-8238659.7788,4968661.8086,323,323,459,S&P GLOBAL,55 WATER STREET,NOT AVAILABLE,NEW YORK,NY,10041,NEW YORK,20000,5661,40.7032,-74.00914,BING MAPS,ADDRESS,36061,NOT AVAILABLE,HTTPS://WWW.SPGLOBAL.COM/,2106,{641A97DF-1A60-4D66-9395-82A97418B1E4},2021/12/16 14:56:43+00,HostedByHIFLD,2021/12/16 14:56:43+00,HostedByHIFLD
